Channel Name,Unit
qTP_SlvTrbPst,C
qTP_SlvTrbRerPre,C
qTP_SlvTrbRerPst,C
qTP_ThrPre,C
qTP_TrbCltPre,C
qTP_TrbLftPre,C
qTP_TrbOilPst,C
qTP_TrbPre,C
qTP_TrbPst,C
qTP_TrbRgtPre,C
vHM_Amb,Pct
vHM_AmbAbs,Pct
vOT_Mix,Pct
vPC_Amb,Pct
vTP_Amb,C
vTP_AmbDew,C
vTP_AmbWet,C
yPO_Dyn,kW
yPO_DynStp,kW
ySP_Dyn,RPM
ySP_DynStp,RPM
yTQ_Dyn,Nm
yTQ_DynStp,Nm
,
